,hawkish,dovish
1998-01-01,,
1998-02-01,,
1998-03-01,,
1998-04-01,,
1998-05-01,,
1998-06-01,,
1998-07-01,,
1998-08-01,,
1998-09-01,,
1998-10-01,,
1998-11-01,,
1998-12-01,,
1999-01-01,,
1999-02-01,,
1999-03-01,,
1999-04-01,,
1999-05-01,,
1999-06-01,,
1999-07-01,,
1999-08-01,,
1999-09-01,,
1999-10-01,,
1999-11-01,,
1999-12-01,,
2000-01-01,,
2000-02-01,,
2000-03-01,,
2000-04-01,,
2000-05-01,,
2000-06-01,,
2000-07-01,,
2000-08-01,,
2000-09-01,,
2000-10-01,,
2000-11-01,,
2000-12-01,0.0491012411835698,0.042774435868018504
2001-01-01,0.059147320907196384,0.10507785936061047
2001-02-01,0.0751005602197459,0.10160667702749328
2001-03-01,0.05059705197011337,0.0762050062163065
2001-04-01,0.03479084586226718,0.07698686971114158
2001-05-01,0.05153349737329071,0.0636304508551451
2001-06-01,0.025780829852059328,-0.010100156970592468
2001-07-01,0.018850831577531445,-0.017361595397333514
2001-08-01,0.01539589330292169,-0.01477726904179718
2001-09-01,-0.018417498302171775,-0.015914952628999387
2001-10-01,-0.018641613023427116,0.031116694830420955
2001-11-01,-0.018545865133596566,0.03742620485555614
2001-12-01,-0.018728666105766623,0.0336289756787753
2002-01-01,-0.01872300625263205,0.02294764281127019
2002-02-01,-0.018622253206635374,0.03115171033308927
2002-03-01,-0.018558801520764084,0.026841533080483072
2002-04-01,-0.018535421678812072,0.02658506001156184
2002-05-01,-0.018517544740093615,0.026201405557227456
2002-06-01,-0.017882961654572996,0.02862420396995377
2002-07-01,-0.017882961654572996,0.04172058891844405
2002-08-01,-0.017882961654572996,0.0477644759200913
2002-09-01,-0.017882961654572996,0.04555411977974183
2002-10-01,-0.017882961654572996,0.049041159962565174
2002-11-01,-0.017882961654572996,-0.025882209050568657
2002-12-01,-0.017882961654572996,-0.037042626172888116
2003-01-01,-0.017882961654572996,-0.13580803988183857
2003-02-01,-0.013042706750785931,-0.136650467068932
2003-03-01,0.032040482706133806,-0.13317566341149095
2003-04-01,-0.010320866361167927,-0.1539982368099981
2003-05-01,-0.08099601402371467,-0.15743398991939497
2003-06-01,-0.10378314511634615,-0.15479345227433317
2003-07-01,-0.106114987168143,-0.17479151561381806
2003-08-01,-0.11290728133116851,-0.17503704025975092
2003-09-01,-0.014944393893191375,-0.17790689040499108
2003-10-01,0.01995915199416366,-0.17665139176515657
2003-11-01,-4.910832170587997,-0.1568175454123988
2003-12-01,-5.0740015360909805,-0.16356374742142799
2004-01-01,-5.876447217321645,-0.24715956477205828
