,hawkish,dovish
1998-01-01,,
1998-02-01,,
1998-03-01,,
1998-04-01,,
1998-05-01,,
1998-06-01,,
1998-07-01,,
1998-08-01,,
1998-09-01,,
1998-10-01,,
1998-11-01,,
1998-12-01,,
1999-01-01,,
1999-02-01,,
1999-03-01,,
1999-04-01,,
1999-05-01,,
1999-06-01,,
1999-07-01,,
1999-08-01,,
1999-09-01,,
1999-10-01,,
1999-11-01,,
1999-12-01,,
2000-01-01,,
2000-02-01,,
2000-03-01,,
2000-04-01,,
2000-05-01,,
2000-06-01,,
2000-07-01,,
2000-08-01,,
2000-09-01,,
2000-10-01,,
2000-11-01,,
2000-12-01,0.007323290862792144,0.003423605411497602
2001-01-01,0.0025778027896835027,0.0027479387821189253
2001-02-01,0.007385767608780948,0.014960502288893408
2001-03-01,0.0013282234598573789,0.004961661275918377
2001-04-01,0.005886166838455825,0.0049986561199253975
2001-05-01,0.007558759237808499,0.0040009522657489995
2001-06-01,0.001707716517370694,0.008856781321347602
2001-07-01,0.00019288697898092594,0.00019696456064611901
2001-08-01,0.0001300915250572497,0.0004280660479390689
2001-09-01,0.000982573299066933,0.00023629132366606543
2001-10-01,0.0011358317355461699,0.009688206659824403
2001-11-01,0.001149957805614743,0.00777369214172383
2001-12-01,0.0015630900444788488,0.01768347163266195
2002-01-01,0.0015668812186012207,0.02177055451139002
2002-02-01,0.001657353573315688,0.016062454488768387
2002-03-01,0.0015574529782205705,0.01958550197760149
2002-04-01,0.001285223756780227,0.02245098741173387
2002-05-01,0.00139136263706714,0.02372737624633992
2002-06-01,0.0012811733253193722,0.029632051435503702
2002-07-01,0.0012729964447666879,0.027681019703435335
2002-08-01,0.0012612167930899057,0.023242232991663968
2002-09-01,0.001235851371343486,0.026457446311167667
2002-10-01,0.0012584387431342208,0.025908897739194203
2002-11-01,0.0012233052192891084,0.00848195602409073
2002-12-01,0.0011890232711848927,0.018535771007558526
2003-01-01,0.0011406687472488226,0.03813225883136825
2003-02-01,0.00045279646694159904,0.037149073513326365
2003-03-01,0.00018396333124306844,0.03596214186931008
2003-04-01,0.003058341296945912,0.008069474682729668
2003-05-01,0.005292739161139156,0.0068097505641556404
2003-06-01,0.0006793895241666879,0.005855805991469755
2003-07-01,0.0004883908872908264,0.009455881700138166
2003-08-01,0.0003008174336112777,0.009591122219572467
2003-09-01,0.0033745722960017506,0.009657893949878009
2003-10-01,0.005195391300510981,0.009626542958282303
2003-11-01,0.10960871025172518,0.014767143688851929
2003-12-01,0.10754838920353715,0.020666948221491902
2004-01-01,0.11288628817839123,0.0047440559708850525
