,hawkish,dovish
1998-01-01,,
1998-02-01,,
1998-03-01,,
1998-04-01,,
1998-05-01,,
1998-06-01,,
1998-07-01,,
1998-08-01,,
1998-09-01,,
1998-10-01,,
1998-11-01,,
1998-12-01,,
1999-01-01,,
1999-02-01,,
1999-03-01,,
1999-04-01,,
1999-05-01,,
1999-06-01,,
1999-07-01,,
1999-08-01,,
1999-09-01,,
1999-10-01,,
1999-11-01,,
1999-12-01,,
2000-01-01,,
2000-02-01,,
2000-03-01,,
2000-04-01,,
2000-05-01,,
2000-06-01,,
2000-07-01,,
2000-08-01,,
2000-09-01,,
2000-10-01,,
2000-11-01,,
2000-12-01,0.019824238025147975,0.008819811559625593
2001-01-01,0.019071221338053772,0.041980533661021335
2001-02-01,0.028515943524473238,0.038597809451200824
2001-03-01,0.012754167882297687,0.02157603334680641
2001-04-01,0.005815183564193449,0.022397185487794645
2001-05-01,0.012106986281829504,0.01617429236629541
2001-06-01,0.0030220957484893896,0.00046002701489121186
2001-07-01,0.001525398035911526,0.0012223768038096914
2001-08-01,0.0009683238353926874,0.0008968816865978158
2001-09-01,0.0014179501100745966,0.001140398723111635
2001-10-01,0.0015942861943905127,0.004330679752513065
2001-11-01,0.001615832316392941,0.007240986870386932
2001-12-01,0.0016454950739322079,0.005974238735386379
2002-01-01,0.0016504678265994905,0.002833071411845252
2002-02-01,0.001608931081935948,0.005291771781418569
2002-03-01,0.0017148616730732606,0.004234749766291861
2002-04-01,0.0016963056037635886,0.0041207398860105635
2002-05-01,0.001727928869994378,0.004085867351073111
2002-06-01,0.0016131662804252092,0.004820662370504948
2002-07-01,0.0016677812516954582,0.010373875512156712
2002-08-01,0.001707732947838635,0.014138657469598874
2002-09-01,0.0017827535557270544,0.01347866677406136
2002-10-01,0.0017384513141944207,0.015277595129576677
2002-11-01,0.001021110270496349,0.002395327577437507
2002-12-01,0.0010196884083865816,0.004432536827462788
2003-01-01,0.0007710146969432865,0.05127936009745488
2003-02-01,0.0003247041996751535,0.05124493777727842
2003-03-01,0.0015199667280409862,0.050995458526806745
2003-04-01,0.00013458901532507238,0.0662355676140534
2003-05-01,0.006754703212279291,0.07059351346214726
2003-06-01,0.009179032560424086,0.0692641444686886
2003-07-01,0.009521115602130188,0.08351119376180179
2003-08-01,0.011001058725159255,0.08559195889871792
2003-09-01,0.00016608432897510144,0.09288076245225728
2003-10-01,0.00014324665533297517,0.08792331351888635
2003-11-01,0.05620867628263436,0.06904377920362655
2003-12-01,0.059714199845308874,0.07258064378550048
2004-01-01,0.09728183985919099,0.1911271477370855
2004-02-01,0.06848007653205315,0.1539744601238188
