,hawkish_beta,dovish_beta,hawkish_r2,dovish_r2
1998-01-01,,,,
1998-02-01,,,,
1998-03-01,,,,
1998-04-01,,,,
1998-05-01,,,,
1998-06-01,,,,
1998-07-01,,,,
1998-08-01,,,,
1998-09-01,,,,
1998-10-01,,,,
1998-11-01,,,,
1998-12-01,,,,
1999-01-01,,,,
1999-02-01,,,,
1999-03-01,,,,
1999-04-01,,,,
1999-05-01,,,,
1999-06-01,,,,
1999-07-01,,,,
1999-08-01,,,,
1999-09-01,,,,
1999-10-01,,,,
1999-11-01,,,,
1999-12-01,,,,
2000-01-01,,,,
2000-02-01,,,,
2000-03-01,,,,
2000-04-01,,,,
2000-05-01,,,,
2000-06-01,,,,
2000-07-01,,,,
2000-08-01,,,,
2000-09-01,,,,
2000-10-01,,,,
2000-11-01,,,,
2000-12-01,0.026729649831302098,0.023869449250271076,0.007323290862792144,0.003423605411497602
2001-01-01,-0.016865608497525504,-0.020850770657981493,0.0025778027896835027,0.0027479387821189253
2001-02-01,-0.029839938096013645,-0.04938724516100817,0.007385767608780948,0.014960502288893408
2001-03-01,-0.013158094261361324,-0.029448930546038456,0.0013282234598573789,0.004961661275918377
2001-04-01,-0.02809345614918723,-0.02919121569437939,0.005886166838455825,0.0049986561199253975
2001-05-01,-0.03279505559659905,-0.02548857547814083,0.007558759237808499,0.0040009522657489995
2001-06-01,-0.016090135571226346,-0.0367945458941729,0.001707716517370694,0.008856781321347602
2001-07-01,-0.005889585357476677,0.006123158053811283,0.00019288697898092594,0.00019696456064611901
2001-08-01,0.004928308411673775,0.00891580964792716,0.0001300915250572497,0.0004280660479390689
2001-09-01,0.01391721718868574,0.006576133773889144,0.000982573299066933,0.00023629132366606543
2001-10-01,0.014362699395935596,-0.042483065681314304,0.0011358317355461699,0.009688206659824403
2001-11-01,0.014178792519513596,-0.035143088118130196,0.001149957805614743,0.00777369214172383
2001-12-01,0.015990247204321083,-0.05068281671541283,0.0015630900444788488,0.01768347163266195
2002-01-01,0.015994259041728267,-0.055772241993952976,0.0015668812186012207,0.02177055451139002
2002-02-01,0.016477600599210048,-0.04731623483343905,0.001657353573315688,0.016062454488768387
2002-03-01,0.016421957789602225,-0.05359729527432259,0.0015574529782205705,0.01958550197760149
2002-04-01,0.013984144725748656,-0.05378533560797319,0.001285223756780227,0.02245098741173387
2002-05-01,0.01404684355037529,-0.05337592582761499,0.00139136263706714,0.02372737624633992
2002-06-01,0.0134207799388133,-0.059763338962495104,0.0012811733253193722,0.029632051435503702
2002-07-01,0.0134207799388133,-0.05854168447913724,0.0012729964447666879,0.027681019703435335
